,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
0,Borussia Dortmund,W,3,3.41,24,13,3,1.98,17534
1,Hoffenheim,L,2,2.42,10,5,0,0.82,17534
0,FC Cologne,W,2,2.91,22,5,3,2.71,17535
1,Bochum,L,1,0.72,11,1,0,0.20,17535
0,Arminia Bielefeld,D,1,0.63,13,5,1,0.49,17536
1,Eintracht Frankfurt,D,1,1.79,11,3,1,2.30,17536
0,Augsburg,L,1,1.69,14,4,0,1.09,17537
1,Bayer Leverkusen,W,4,2.12,14,5,3,1.66,17537
0,Mainz 05,W,3,2.79,18,9,3,2.84,17538
1,Greuther Fuerth,L,0,0.30,9,1,0,0.10,17538
0,VfB Stuttgart,L,2,2.28,17,7,0,2.06,17539
1,Freiburg,W,3,1.36,15,7,3,0.72,17539
0,Bayern Munich,W,5,4.26,16,6,3,2.95,17540
1,Hertha Berlin,L,0,0.58,8,3,0,0.03,17540
