,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
1,Greuther Fuerth,D,2,0.55,6,3,1,1.32,17679
0,Augsburg,D,1,0.83,10,5,1,0.45,17680
1,Eintracht Frankfurt,D,1,2.15,14,4,1,2.37,17680
0,Mainz 05,W,1,1.60,19,6,3,1.55,17681
1,Bochum,L,0,1.33,12,4,0,1.15,17681
0,VfB Stuttgart,L,0,1.19,16,8,0,0.97,17682
1,RasenBallsport Leipzig,W,2,1.60,7,3,3,1.75,17682
0,Borussia M.Gladbach,L,1,1.44,17,6,0,0.02,17683
1,Bayer Leverkusen,W,2,6.50,32,14,3,2.97,17683
0,Union Berlin,W,2,1.77,9,4,3,2.42,17684
1,Hoffenheim,L,1,0.61,11,4,0,0.40,17684
0,Wolfsburg,D,0,1.80,9,3,1,2.57,17685
1,Hertha Berlin,D,0,0.31,6,1,1,0.27,17685
0,Borussia Dortmund,W,5,2.43,20,7,3,2.30,17686
1,Freiburg,L,1,1.05,5,4,0,0.51,17686
0,Greuther Fuerth,W,2,1.29,9,5,3,1.26,17687
1,Mainz 05,L,1,1.41,17,5,0,1.45,17687
0,Bochum,D,2,1.78,17,7,1,1.54,17688
1,FC Cologne,D,2,1.54,8,3,1,1.19,17688
0,Hertha Berlin,L,1,0.85,5,2,0,0.03,17689
1,Bayern Munich,W,4,5.19,30,19,3,2.95,17689
0,Hoffenheim,L,2,1.16,16,3,0,1.10,17690
1,Borussia Dortmund,W,3,1.34,4,2,3,1.58,17690
0,Freiburg,W,2,1.58,15,4,3,2.48,17691
1,VfB Stuttgart,L,0,0.22,6,1,0,0.32,17691
0,Borussia M.Gladbach,L,1,1.30,11,5,0,1.29,17692
1,Union Berlin,W,2,1.31,6,3,3,1.33,17692
0,Bayer Leverkusen,W,5,3.52,22,12,3,2.66,17693
1,Augsburg,L,1,1.21,14,5,0,0.24,17693
0,Eintracht Frankfurt,L,0,1.45,18,7,0,1.25,17694
1,Arminia Bielefeld,W,2,1.56,8,5,3,1.49,17694
0,RasenBallsport Leipzig,W,2,1.69,11,3,3,2.17,17695
1,Wolfsburg,L,0,0.87,10,3,0,0.58,17695
0,FC Cologne,W,1,1.10,12,3,3,1.68,17696
1,Freiburg,L,0,0.68,15,2,0,1.00,17696
0,Arminia Bielefeld,D,1,0.60,11,5,1,0.67,17697
1,Borussia M.Gladbach,D,1,1.48,21,4,1,2.07,17697
0,Hertha Berlin,D,1,0.44,13,3,1,0.74,17698
1,Bochum,D,1,0.99,10,3,1,1.93,17698
0,Augsburg,W,2,1.83,14,8,3,1.16,17699
1,Union Berlin,L,0,2.10,14,4,0,1.58,17699
0,Mainz 05,W,2,1.78,10,4,3,1.76,17700
1,Hoffenheim,L,0,1.32,16,3,0,0.98,17700
0,VfB Stuttgart,L,2,2.12,15,5,0,2.31,17701
1,Eintracht Frankfurt,W,3,0.84,15,6,3,0.50,17701
0,Wolfsburg,W,4,2.06,14,6,3,2.14,17702
